Neighborhood,Average Obesity Rate
North Oakland,0.1045791815
North Shore,0.12148674
Squirrel Hill North,0.12594131866666666
Shadyside,0.1277184482
Central Oakland,0.1286682725
North oakland,0.155867454
Regent Square,0.160133394
Point Breeze,0.167494006
Squirrel Hill South,0.17292806666666669
Allegheny West,0.20639897
Friendship,0.220125706
Highland Park,0.230228514
Bloomfield,0.2323515522
Banksville,0.239786459
Bluff,0.246935849
Southside Flats,0.24718047799999998
Duquesne Heights,0.248010116
Swisshelm Park,0.24942228
Greenfield,0.2634910085
Westwood,0.268105915
Mount Washington,0.26816347525
Oakwood,0.268579214
Morningside,0.275901608
Ridgemont,0.27678553
Brookline,0.280167342
South Oakland,0.281331416
West End,0.287903689
Beechview,0.28879936900000003
Bon Air,0.289504665
Southside Slopes,0.28992982300000003
Central Lawrenceville,0.2929394455
Brighton Heights,0.29524308433333335
Summer Hill,0.302258313
Overbrook,0.302275048
Carrick,0.30502470633333334
Hays,0.306539098
Lincoln Place,0.308693843
Spring Garden,0.311407872
Troy Hill/Herr's Island,0.311833933
Allegheny Center,0.313581335
New Homestead,0.316983455
Crafton Heights,0.3190162825
Lower Lawrenceville,0.319568655
Polish Hill,0.320700606
Perry North,0.321312263
Stanton Heights,0.325282558
Sheraden,0.328412205
East Carnegie,0.332559825
Arlington,0.334520462
Upper Lawrenceville,0.33469413
Spring Hill-Cityview,0.335105173
Windgap,0.340615473
Elliott,0.344055061
Esplen,0.348333537
Allentown,0.353924826
South Shore,0.354375073
Point Breeze North,0.357949761
West oakland,0.366390731
Strip District,0.369996439
Mount Oliver Neighborhood,0.380567299
Glen Hazel,0.383138055
Hazelwood,0.38585020950000004
East Allegheny,0.388730745
Knoxville,0.390726631
East Liberty,0.4299940795
Chartiers City,0.438444683
Chateau,0.439386232
Central Northside,0.4421311125
Perry South,0.4534244855
Upper Hill,0.455786185
Arlington Heights,0.473120252
Beltzhoover,0.479978155
Marshall-Shadeland,0.4801032255
Crawford Roberts,0.488690884
Manchester,0.498043254
Fineview,0.499128646
Larimer,0.5175594385
Garfield,0.5251173530000001
East Hills,0.562136738
Homewood West,0.565709871
Lincoln-Lemington-Belmar,0.5789024686666667
Homewood North,0.596424896
Middle Hill,0.608099152
Homewood South,0.6096966685
Bedford Dwellings,0.636222228
Central Business District,0.668012041
Terrace Village,0.674102919
Saint Clair,0.699500402
California Kirkbride,0.771046408
Fairywood,0.820311359
Northview Heights,0.92293244
